LON,LAT,ANNUAL
-40.845,-14.862,5081
-40.579,-14.866,4954
-39.656,-14.859,4870
-39.592,-14.858,4857
-39.424,-14.892,4864
-42.658,-14.769,5793
-4.243,-14.843,5365
-40.144,-1.480,4888
-40.090,-14.753,4855
-39.988,-14.845,4834
-39.476,-14.795,4756
-39.278,-1.479,4900
-39.046,-14.794,5181
-42.505,-1.468,5589
-41.680,-14.689,5309
-41.492,-14.663,5299
-41.256,-14.726,5339
-40.475,-1.467,4933
-39.642,-14.709,4694
-39.374,-14.677,4815
-42.944,-14.572,5809
-4.114,-14.614,5304
-39.556,-14.638,4730
-39.285,-14.591,4870
-42.686,-14.493,5837
-42.223,-14.501,5433
-41.938,-14.547,5424
-40.364,-14.524,4959
-43.551,-14.411,5779
-4.287,-14.414,5804
-42.075,-14.410,5471
-41.885,-14.385,5455
-41.465,-14.428,5390
-40.505,-1.437,5017
-40.206,-14.364,4999
-39.904,-14.430,4835
-39.564,-1.442,4839
-43.773,-1.430,5864
-4.377,-14.339,5864
-43.161,-1.427,5823
-42.257,-14.272,5499
-39.844,-14.284,4860
-39.465,-14.325,4881
-39.323,-14.300,4868
-39.323,-14.318,4868
-38.996,-14.279,5290
-44.536,-14.182,5870
-44.280,-14.210,5843
-42.780,-14.224,5849
-41.670,-14.203,5448
-40.773,-14.241,5149
-40.004,-14.164,4888
-39.600,-14.210,4901
-39.518,-14.216,4870
-39.373,-14.162,4823
-42.487,-14.069,5601
-40.240,-14.148,4950
-3.989,-14.127,4919
-39.737,-14.133,4885
-39.641,-14.065,4848
-3.901,-1.410,5011
-42.141,-1.403,5561
-41.248,-14.020,5355
-39.890,-14.017,4876
-42.844,-13.911,5836
-4.009,-13.851,4979
-39.745,-13.856,4765
-39.107,-13.940,4890
-44.457,-13.828,5810
-41.771,-13.762,5610
-41.301,-13.811,5284
-4.104,-13.763,5201
-39.626,-1.381,4815
-39.683,-13.779,4815
-39.377,-13.760,4811
-39.142,-13.821,4925
-40.212,-1.366,4914
-39.479,-13.687,4844
-39.490,-13.747,4844
-39.149,-1.373,4914
-4.448,-13.612,5804
-42.936,-1.361,5816
-41.811,-13.580,5492
-41.840,-13.639,5492
-41.331,-13.627,5241
-39.489,-13.592,4849
-39.106,-13.601,4910
-43.577,-13.542,5891
-42.491,-13.548,5832
-41.592,-1.352,5419
-40.221,-13.467,4920
-40.151,-13.534,4862
-39.964,-13.525,4888
-39.423,-13.454,4794
-39.101,-13.539,4931
-39.047,-13.491,5050
-44.201,-13.386,5861
-44.194,-13.406,5861
-42.525,-13.380,5826
-42.242,-13.445,5859
-42.141,-13.418,5780
-41.284,-13.406,5095
-40.433,-13.436,4972
-39.938,-13.446,4854
-3.981,-13.356,4857
-39.073,-13.367,5078
-44.635,-13.343,5849
-43.411,-1.325,5904
-42.292,-13.330,5853
-41.665,-13.251,5315
-40.959,-13.293,5075
-40.370,-13.259,4986
-40.085,-13.257,4847
-39.822,-13.295,4856
-39.663,-13.269,4836
-39.568,-1.325,4814
-41.770,-13.153,5265
-39.505,-13.229,4801
-39.422,-13.168,4884
-44.201,-13.073,5827
-4.347,-13.083,5906
-4.229,-1.313,5853
-39.794,-1.310,4920
-39.002,-13.077,5058
-38.894,-13.111,5221
-4.405,-12.980,5884
-42.695,-1.302,5880
-41.371,-13.006,5065
-40.964,-12.982,5112
-40.530,-13.007,5166
-40.068,-13.027,4902
-39.597,-13.032,4994
-39.458,-13.044,4898
-39.392,-12.968,4939
-39.259,-12.962,4992
-39.109,-1.300,5036
-39.010,-13.034,5048
-38.618,-12.964,5327
-38.502,-12.973,5365
-42.486,-12.881,5928
-39.862,-12.867,4954
-3.952,-12.946,4990
-39.192,-1.291,5046
-38.757,-12.874,5312
-38.680,-12.894,5345
-38.321,-12.898,5249
-43.951,-12.759,5894
-42.733,-1.282,5908
-42.169,-12.809,5739
-41.329,-12.795,4988
-41.069,-12.817,5005
-40.206,-12.767,5027
-39.523,-12.770,4945
-39.427,-12.768,4948
-39.172,-1.278,5039
-39.087,-12.846,5046
-38.918,-12.777,5124
-38.403,-1.279,5091
-44.008,-12.703,5879
-43.180,-12.687,5913
-42.218,-12.651,5775
-41.829,-12.707,5469
-40.609,-12.661,5031
-39.697,-12.714,4998
-39.101,-1.267,5050
-3.919,-12.730,5050
-3.877,-12.740,5311
-38.616,-12.745,5218
-38.541,-12.671,4983
-38.327,-12.700,5050
-41.390,-12.563,5048
-40.930,-12.648,5015
-39.042,-12.600,5122
-3.896,-12.600,5106
-38.974,-12.613,5106
-38.676,-12.622,5050
-3.829,-12.619,5197
-43.962,-12.486,5865
-41.581,-12.506,5290
-40.306,-12.525,4954
-39.191,-12.532,5115
-38.998,-12.508,5078
-3.871,-12.549,5064
-38.491,-12.513,5048
-38.301,-12.531,5096
-44.975,-12.362,5820
-41.773,-12.417,5233
-40.903,-12.356,5026
-3.950,-12.406,5012
-39.251,-12.428,5073
-39.118,-12.434,5073
-38.950,-12.435,5041
-38.754,-12.398,5053
-38.620,-12.404,5007
-38.338,-12.431,5090
-38.375,-12.354,5090
-44.863,-12.316,5783
-44.539,-12.308,5816
-42.890,-12.318,5961
-41.167,-12.279,4919
-40.493,-12.282,4977
-39.308,-12.316,5050
-38.967,-12.267,5051
-38.769,-12.327,5065
-38.640,-12.303,5057
-38.041,-12.255,5193
-44.419,-12.237,5832
-4.322,-12.178,5998
-41.616,-12.243,5238
-39.736,-12.157,5057
-3.933,-12.160,5031
-39.244,-12.152,5003
-38.748,-12.249,5084
-3.820,-12.214,5102
-45.797,-1.209,5639
-44.997,-12.144,5873
-43.899,-12.112,5905
-43.549,-12.065,5912
-41.643,-12.089,5305
-41.096,-12.079,4976
-40.360,-12.138,4934
-38.764,-12.051,5097
-38.643,-12.146,5096
-38.421,-1.213,5077
-38.497,-12.089,5077
-44.700,-12.009,5891
-44.261,-12.029,5897
-42.630,-11.995,5799
-41.638,-11.965,5400
-4.127,-11.967,5044
-40.169,-11.956,4997
-39.105,-11.975,5066
-38.975,-11.953,5070
-38.866,-12.025,5105
-38.630,-12.012,5109
-40.471,-1.187,4943
-38.764,-11.862,5094
-38.087,-11.940,5168
-37.949,-11.942,5144
-42.611,-1.182,5916
-42.059,-11.810,5590
-41.906,-11.761,5595
-4.079,-11.848,4975
